PUFC05_AGE,PUFC06_MSTAT,PUFC04_SEX,PUFC07_GRADE,PUFC08_CURSCH,PUFC38_PREVJOB,PUFC31_FLWRK,PUFC30_LOOKW,PUFC34_WYNOT
54,2,1,700,-1,-1,-1,-1,-1
16,1,2,700,1,2,-1,2,8
7,1,2,700,1,-1,-1,-1,-1
28,1,2,700,-1,-1,-1,-1,-1
19,1,2,700,1,2,-1,2,8
15,1,2,700,1,2,-1,2,8
22,1,1,700,2,1,-1,2,9
18,1,1,700,1,2,-1,2,8
8,1,2,700,1,-1,-1,-1,-1
14,1,1,700,1,-1,-1,-1,-1
9,1,1,700,1,-1,-1,-1,-1
20,1,1,700,2,1,-1,2,7
47,2,1,700,-1,-1,-1,-1,-1
70,2,2,700,-1,1,-1,2,7
30,2,2,700,-1,1,-1,2,7
13,1,1,700,1,-1,-1,-1,-1
23,1,1,700,2,1,2,1,-1
24,1,2,700,1,1,-1,2,7
28,2,2,700,-1,-1,-1,-1,-1
35,2,2,700,-1,1,-1,2,7
27,1,1,700,-1,-1,-1,-1,-1
33,2,1,700,-1,-1,-1,-1,-1
15,1,2,700,1,2,-1,2,8
14,1,1,700,1,-1,-1,-1,-1
7,1,2,700,1,-1,-1,-1,-1
21,1,1,700,2,-1,-1,-1,-1
6,1,1,700,1,-1,-1,-1,-1
30,1,1,700,-1,-1,-1,-1,-1
21,1,2,700,2,-1,-1,-1,-1
32,2,2,700,-1,-1,-1,-1,-1
32,2,1,700,-1,-1,-1,-1,-1
72,1,2,700,-1,1,-1,2,7
23,2,2,700,2,1,-1,2,7
15,1,1,700,1,2,-1,2,8
64,2,2,700,-1,-1,-1,-1,-1
50,2,1,700,-1,-1,-1,-1,-1
17,1,2,700,1,2,-1,2,8
34,2,1,700,-1,-1,-1,-1,-1
26,1,2,700,-1,2,-1,2,8
53,2,1,700,-1,-1,-1,-1,-1
52,3,2,700,-1,-1,-1,-1,-1
36,2,1,700,-1,1,-1,2,7
21,1,2,700,2,-1,-1,-1,-1
59,2,1,700,-1,1,-1,2,6
37,2,2,700,-1,1,-1,2,7
33,3,2,700,-1,-1,-1,-1,-1
38,2,2,700,-1,-1,-1,-1,-1
60,3,2,700,-1,-1,-1,-1,-1
13,1,1,700,1,-1,-1,-1,-1
12,1,2,700,1,-1,-1,-1,-1
66,3,2,700,-1,1,-1,2,6
9,1,1,700,1,-1,-1,-1,-1
12,1,1,700,2,-1,-1,-1,-1
15,1,2,700,1,2,-1,2,8
54,2,1,700,-1,-1,-1,-1,-1
58,4,1,700,-1,-1,-1,-1,-1
16,1,2,700,2,-1,-1,-1,-1
8,1,2,700,2,-1,-1,-1,-1
62,3,2,700,-1,-1,-1,-1,-1
35,2,1,700,-1,-1,-1,-1,-1
26,2,2,700,-1,-1,-1,-1,-1
7,1,1,700,1,-1,-1,-1,-1
28,2,1,700,-1,-1,-1,-1,-1
11,1,2,700,1,-1,-1,-1,-1
16,1,1,700,1,2,-1,2,8
20,1,2,700,1,2,-1,2,8
13,1,1,700,1,-1,-1,-1,-1
28,2,1,700,-1,-1,-1,-1,-1
62,2,2,700,-1,1,-1,2,7
87,2,1,700,-1,-1,-1,-1,-1
33,2,2,700,-1,-1,-1,-1,-1
56,2,2,700,-1,1,-1,2,7
15,1,2,700,1,2,-1,2,8
19,1,1,700,2,-1,-1,-1,-1
41,2,1,700,-1,-1,-1,-1,-1
61,3,2,700,-1,1,-1,2,7
16,1,1,700,1,2,-1,2,8
52,2,1,700,-1,-1,-1,-1,-1
39,2,2,700,-1,-1,-1,-1,-1
32,2,2,700,-1,-1,-1,-1,-1
58,2,1,700,-1,-1,-1,-1,-1
34,2,1,700,-1,-1,-1,-1,-1
45,2,1,700,-1,-1,-1,-1,-1
85,3,2,700,-1,1,-1,2,6
34,2,1,700,-1,-1,-1,-1,-1
40,1,1,700,-1,-1,-1,-1,-1
8,1,1,700,1,-1,-1,-1,-1
6,1,1,700,1,-1,-1,-1,-1
10,1,2,700,1,-1,-1,-1,-1
13,1,2,700,1,-1,-1,-1,-1
6,1,2,700,1,-1,-1,-1,-1
19,1,1,700,2,-1,-1,-1,-1
9,1,2,700,1,-1,-1,-1,-1
18,1,2,700,1,2,-1,2,8
82,2,1,700,-1,1,-1,2,6
45,2,2,700,-1,2,-1,2,7
33,1,2,700,-1,-1,-1,-1,-1
16,1,1,700,1,2,-1,2,8
